Date of Encounter,Which of the following groups best describes the roadkill found?,"If you are able to provide a more specific ID, please do so here!",Google Maps Plus Codes,How would you classify the path this roadkill was found on?
9/3/22,Snake,Paradise Tree Snake,"1.374480, 103.872295",Road
9/6/22,Lizard - Monitor,Malayan Water Monitor,"1.352410, 103.850254",Road
9/9/22,Snake,Eight-striped Kukri Snake,"1.421621, 103.717375",Road
9/9/22,Snake,Reticulated Python,"1.416036, 103.802029",Road
9/9/22,Snake,Striped Keelback,"1.421621, 103.717375",Road
10/9/22,Caecilian,Lime butterfly,Toa Payoh Lorong 5 block 64 carpark entrance,Road
9/21/2022,Snake,Common Wolf Snake,"Pasir Ris park connector, nr car park A",Bicycle Track
9/10/22,Lizard - Agamid,Green Crested Lizard Bronchocela cristatella,"1.3703628057081092, 103.77664828505627",Car park
9/11/22,Snake,Dwarf Reed Snake,"1.356673937477873, 103.81569893109553",Road
9/15/2022,Frog,Four-lined Tree Frog,"1.399405, 103.805504",Road
9/15/2022,Snake,House Wolf Snake,"1.305693, 103.898346",Small driveway next to pavement at base of block.
9/16/2022,Snake,Red-tailed Racer,"1.34714, 103.7768",Road
9/17/2022,Lizard - Agamid,Changeable Lizard,"1.308842, 103.791310",PCN
9/17/2022,Frog,Copper-cheeked Frog,"1.39913, 103.80759",Road
9/17/2022,Frog,Dicroglossid Frog,"1.303619, 103.793614",PCN
9/19/2022,Lizard - Monitor,Malayan Water Monitor,"1.29106, 103.84027",Pavement
9/20/2022,Snake,Equatorial spitting Cobra juvenile,"1.3603952266011896, 103.8607418464416",Pavement
9/21/2022,Snake,Dendrelaphis sp.,"1.353962,103.793795",Road
9/21/2022,Snake,Elegant Bronzeback,"1.353398,103.786377",Road
9/24/2022,Snake,White-spotted Slug Snake,"1.36533, 103.76599",Walking Trail
9/25/2022,Snake,Equatorial spitting cobra,"1.271221, 103.819556",Road
9/25/2022,Frog,Unidentified Froggy Object,"1.328244, 103.781477",Walking Trail
9/26/2022,Snake,House Wolf Snake,"1.350720,103.767071 Lor Sesuai",Road
9/27/2022,Frog,Bengal Toad,"1.343465, 103.850872",Road
9/28/2022,Lizard - Agamid,Changeable Lizard,"1.378979,103.941603",Pavement
9/29/2022,Snake,Paradise Tree Snake,"1.3471094228271998, 103.86265226971092",Road
10/1/22,Snake,Striped Keelback,"1.407528, 103.755389",Road
10/11/22,Snake,King Cobra,"1.385345, 103.724284",Road
10/12/22,Snake,Equatorial Spitting Cobra,"1.401043, 103.810596",Road
10/12/22,Snake,White-spotted Slug Snake,"1.457876, 103.83446",Road
10/14/2022,Frog,Bengal Toad,"1.2646239637719294, 103.80419120040662",Walking Trail
10/16/2022,Frog,Bengal Toad,"1.328263, 103.853769",Road
10/20/2022,Frog,Field Frog,"1.400729, 103.809603",Road
10/21/2022,Lizard - Agamid,Changeable Lizard,"1.296690, 103.777577",Road
10/25/2022,Snake,Reticulated Python,"1.296784432975246, 103.81202328505913",Road
10/26/2022,Frog,Bengal Toad,"1.332423, 103.795766",Road
10/27/2022,Snake,White-bellied Rat Snake,"1.388727, 103.817965",Road
10/28/2022,Frog,Four-lined Tree Frog,"1.3792881249049365, 103.82389828505598",Road
10/28/2022,Snake,Twin-barred Tree Snake,"1.3792881249049365, 103.82389828505598",Road
10/29/2022,Lizard - Monitor,Clouded Monitor,"1.345545, 103.768056",Road
10/31/2022,Frog,Fejervarya sp.,"1.399130, 103.807576",Road
10/31/2022,Snake,Painted Bronzeback,"1.3051202397584802, 103.81218745436628",Road
11/1/22,Frog,Field Frog,"1.350620, 103.839390",Pavement
11/2/22,Snake,Serpentes sp.,"1.386679, 103.731301",Road
11/2/22,Snake,Wagler's Pit Viper,"1.412058, 103.805762",Road
11/5/22,Frog,Bengal Toad,"1.402526, 103.812472",Road
11/7/22,Snake,Wagler's Pit Viper,"1.3886773169190563, 103.81773435436314",Road
12/14/2022,Lizard - Not Sure,Malayan Water Monitor,8PJX+47X Singapore,Road
11/12/22,Snake,Reticulated python,"1.380998930233512, 103.7600587083247",Road
11/13/2022,Snake,White-spotted Slug Snake,"1.3119878135484098, 103.81270305436601",Road
11/14/2022,Frog,Bengal Toad,"1.399273, 103.805876",Road
11/14/2022,Frog,Bengal Toad,"1.398573, 103.804661",Road
11/15/2022,Lizard - Monitor,Clouded Monitor,"1.310785, 103.814718",Road
11/16/2022,Lizard - Skink,Bowring's Supple Skink,"1.308250,103.758472",Pavement
11/17/2022,Snake,Paradise Tree Snake,"1.349014, 103.835222",Road
11/18/2022,Lizard - Skink,Bowring's Supple Skink,"1.349462, 103.874008",Pavement
11/18/2022,Snake,Eight-striped Kukri Snake,"1.4012310215909505, 103.8094293464401",Road
12/24/2022,Turtle,Malayan Water Monitor,"1.412248, 103.787340",Road
11/18/2022,Snake,Spotted Keelback,"1.3573702273346744, 103.81639453901805",PUB Service Rd at Terentang Trail entrance
11/19/2022,Lizard - Agamid,Sumatran Flying Dragon (Draco sumatranus),"1.4449694, 103.7796145",Pavement
11/20/2022,Frog,Bengal Toad,"1.327469, 103.855203",Pavement
11/21/2022,Snake,Calamaria schlegeli,"1.4082094100170908, 103.77828513901616",Bicycle Track
11/21/2022,Snake,Indochinese Rat Snake,"1.382014, 103.930881",Road
11/27/2022,Snake,Equatorial Spitting Cobra,"1.341085, 103.782889",Road
12/3/22,Lizard - Skink,Sun Skink,"1.38381, 103.74868",Basement Carpark
12/11/22,Frog,Bengal Toad,"1.355882, 103.883898",Pavement
12/13/2022,Lizard - Monitor,Malayan Water Monitor,"1.4024844112401629, 103.81221476970883",Road
12/14/2022,Snake,Paradise Tree Snake,"1.460851, 103.828790",Road
1/9/23,Frog,Banded bullfrog,Between sungei api api bridge and carpark D pasir ris park,Pavement
12/18/2022,Snake,Paradise Tree Snake,"1.347900, 103.750595",Road
12/21/2022,Frog,Bengal Toad,"1.387071, 103.730786",Road
12/23/2022,Frog,Bengal Toad,"1.350073, 103.877955",Pavement
12/26/2022,Lizard - Monitor,Malayan Water Monitor,"1.386819, 103.731257",Road
12/28/2022,Snake,Ahaetulla sp.,"1.377216, 103.827404",Road
12/28/2022,Lizard - Skink,Common Sun Skink,"1.377221, 103.827421",Road
12/30/2022,Lizard - Monitor,Malayan Water Monitor,"1.3944952182254038, 103.87651953901666",Road (MSCP)
12/30/2022,Snake,Painted Bronzeback,"1.4307844051483003, 103.77435536970778",Multi-storey Carpark
1/1/23,Turtle,Chinese Softshell Turtle,"1.4172101, 103.7246379",Shared vehicle and pedestrian path
1/2/23,Frog,Four-lined Tree Frog,"1.398992, 103.804989",Road
1/2/23,Snake,Striped Bronzeback,"1.399631, 103.807967",Road
1/3/23,Snake,White-spotted Slug Snake,"1.3187525, 103.8162699",Road
1/4/23,Snake,Malayan Racer,"1.401955, 103.819108",Road
1/10/23,Snake,Reticulated Python,"1.415669, 103.799484",Road
1/11/23,Snake,Reticulated Python,"1.402495, 103.816813",Road
2/23/2023,Snake,"Small in length, black in colour with multiple yellowish-white spots on it.","Labrador Nature Reserve, somewhere near the first ex-artillery gun site.",Walking Trail
1/12/23,Frog,Bengal Toad,"1.24911, 103.82792",Bicycle Track
2/23/2023,Snake,Chrysopelea paradisi,"Labrador Nature Reserve, near the statue area",Walking Trail
1/14/2023,Snake,White-spotted Slug Snake,"1.30598, 103.81379",Road
1/24/2023,Frog,Bengal Toad,"1.29714, 103.77682",Road
1/28/2023,Lizard - Monitor,Malayan Water Monitor,"1.4016156, 103.9678902",Road
2/3/23,Snake,Ptyas korros,"1.43793,103.73",Road
2/5/23,Lizard - Monitor,Clouded Monitor,"1.32937, 103.8276",Road
2/5/23,Snake,White-spotted Slug Snake,"1.304251, 103.812664",Road
2/8/23,Snake,Eight-striped Kukri Snake,"1.29158, 103.78351",Road
2/9/23,Frog,Bengal Toad,"1.353137, 103.742502",Road
2/9/23,Lizard - Monitor,Malayan Water Monitor,"1.382986, 103.731245",Road
2/9/23,Snake,Rainbow Water Snake,"1.38716, 103.72682",Road
2/21/2023,Snake,Equatorial Spitting Cobra,"1.413432, 103.805276",Pavement
2/23/2023,Snake,Paradise Tree Snake,"1.26518, 103.80393",Walking Trail
2/23/2023,Snake,Reticulated Python,"1.309502, 103.813137",Road
2/24/2023,Snake,House Wolf Snake,"1.401568, 103.967772",Road
2/26/2023,Lizard - Agamid,Changeable Lizard,"1.435675, 103.786701",Pavement
2/26/2023,Snake,Eight-striped Kukri Snake,"1.38653, 103.72585",Road
3/4/23,Frog,Banded Bullfrog,"1.267196, 103.802264",Road
3/11/23,Snake,White-spotted Slug Snake,"1.3362060, 103.8021239",Road
3/12/23,Snake,Oriental Whip Snake,"1.38371, 103.73129",Road
3/12/23,Snake,Speckle-Headed Whip Snake,"1.3124641, 103.8166242",Walking Trail
3/13/2023,Snake,Reticulated Python,"1.322220, 103.861326",Road
3/14/2023,Snake,Serpentes sp.,"1.349857,103.684601",Road
3/17/2023,Snake,Eight-striped Kukri Snake,"1.406844, 103.807475",Road
3/18/2023,Snake,Dog-toothed Cat Snake,"1.344778, 103.780311",Next to the road kerb
3/18/2023,Snake,White-spotted Slug Snake,"1.323475, 103.768491",Road
3/19/2023,Lizard - Monitor,Malayan Water Monitor,"1.3242238, 103.8724031",Road
3/20/2023,Frog,Bengal Toad,"1.328159, 103.861729",Ramp
3/22/2023,Lizard - Monitor,Clouded Monitor,"1.352399, 103.748101",Road
3/22/2023,Snake,Serpentes sp.,"1.34774, 103.68977",Bicycle Track
3/23/2023,Frog,Bengal Toad,"1.355033, 103.747319",Pavement
3/24/2023,Snake,Reticulated python,"1.345319, 103.787962",Road
3/27/2023,Snake,Eight-striped Kukri Snake,"1.29593, 103.77601",Road
3/28/2023,Frog,Bengal Toad,"1.399228, 103.804917",Road
3/28/2023,Snake,Brahminy Blind Snake,"1.445980, 103.729316",Road
3/29/2023,Snake,Paradise Tree Snake,"1.30441, 103.80175",Pavement right beside the road
4/1/23,Frog,Malesian Frog,"1.400220, 103.777720",Road
4/2/23,Frog,Banded Bullfrog,"1.354809, 103.859168",Pavement
4/2/23,Snake,White-spotted Slug Snake,"1.304850, 103.813294",Pavement
4/4/23,Snake,Malaysian Brown Snake,"1.4019, 103.81215",Road
4/7/23,Snake,Banded Krait,"1.404504, 103.965054",Road
4/7/23,Snake,White-spotted Slug Snake,"1.33538, 103.82523",Pavement
4/8/23,Lizard - Monitor,Clouded Monitor,"1.371659, 103.777849",Road
4/8/23,Frog,Four-lined Tree Frog,"1.328103, 103.728633",Pavement
4/9/23,Snake,Equatorial Spitting Cobra,"1.34717, 103.68973",Pavement
4/11/23,Snake,Painted Bronzeback,"1.32166, 103.78192",Pavement
4/15/2023,Snake,Eight-striped Kukri Snake,"1.338350, 103.790071",Road
4/15/2023,Snake,House Wolf Snake,"1.33281, 103.80273",Road
4/22/2023,Snake,White-spotted Slug Snake,"1.344697, 103.780263",Road
4/25/2023,Snake,White-spotted Slug Snake,"1.402458,103.924443",PCN
4/26/2023,Snake,House Wolf Snake,"1.345738, 103.872517",Road
4/26/2023,Snake,Reticulated Python,"1.284201, 103.780359",Road
4/28/2023,Snake,Painted Bronzeback,"1.33448, 103.80076",Road
4/29/2023,Snake,Kopstein's Bronzeback,"1.354610, 103.795962",Road
5/2/23,Snake,Equatorial Spitting Cobra,"1.34741, 103.73623",Road
5/2/23,Snake,Indochinese Rat Snake,"1.385377, 103.723343",Road
5/2/23,Snake,Painted Bronzeback,"1.385391, 103.723287",Road
45049,Lizard - Monitor,Varanus sp.,"1.2678547,103.8164657",Road
5/7/23,Frog,Bengal Toad,"1.317813,103.890127",Pavement
5/8/23,Lizard - Not Sure,Green Iguana,"1.385665, 103.739943",Road
5/26/2023,Snake,Brahminy Blind Snake,CQMQ+W2C Singapore,Right below an office...
5/9/23,Lizard - Monitor,Clouded Monitor,"1.34053, 103.83045",Road
5/9/23,Snake,Sunbeam Snake,"1.31768, 103.81945",Road
5/11/23,Frog,Four-lined Tree Frog,"1.35808, 103.81935",Road
5/11/23,Snake,Striped Keelback,"1.453843, 103.813114",Part connector network
5/14/2023,Snake,Malayan Blue Coral Snake,"1.37183, 103.77873",Road
5/14/2023,Lizard - Monitor,Malayan Water Monitor,"1.296054, 103.884589",Road
5/14/2023,Snake,Sunbeam Snake,"1.385462, 103.722307",Road
5/15/2023,Lizard - Agamid,Changeable Lizard,"1.305143, 103.813491",Road
5/19/2023,Snake,Equatorial Spitting Cobra,"1.344282, 103.852250",Carpark
5/20/2023,Snake,Oriental Whip Snake,"1.387033, 103.730842",Road
5/23/2023,Turtle,Malayan Box Turtle,"1.422284, 103.863482",Road
5/25/2023,Snake,Malayan Blue Coral Snake,"1.40196, 103.7779",Bicycle Track
5/25/2023,Lizard - Monitor,Malayan Water Monitor,"1.289585, 103.847648",Road
5/25/2023,Snake,Painted Bronzeback,"1.40934, 103.86997",Road
5/28/2023,Lizard - Monitor,Malayan Water Monitor,"1.302120, 103.819410",Road
5/29/2023,Snake,Painted Bronzeback,"1.380623, 103.960872",Pavement
5/31/2023,Lizard - Monitor,Clouded Monitor,"1.331399, 103.796044",Road
6/3/23,Snake,Striped Bronzeback,"1.36783, 103.82804",Road
6/5/23,Frog,Dicroglossid Frog,"1.3989689, 103.8075071",Road
6/5/23,Snake,Eight-striped Kukri Snake,"1.3988469, 103.8074316",Im not sure how he got crushed
6/5/23,Snake,Paradise Tree Snake,"1.443715, 103.781813",Road
6/7/23,Snake,King Cobra,"1.44508, 103.72983",Pavement
6/8/23,Snake,Banded Malayan Coral Snake,"1.37976, 103.82551",Road
6/9/23,Frog,Bengal Toad,"1.3109, 103.76008",Pavement
6/12/23,Frog,Banded Bullfrog,"1.33548, 103.92563",Park connector
6/14/2023,Frog,Four-lined Tree Frog,"1.401280, 103.811230",Road
6/14/2023,Lizard - Monitor,Malayan Water Monitor,"1.401240, 103.811160",Road
6/14/2023,Snake,Pareas margaritophorus,"1.318160, 103.784833",Walking Trail
6/14/2023,Snake,Spotted Keelback,"1.3547068, 103.7961466",Road
6/16/2023,Snake,Cave Racer,"1.385595, 103.724510",Road
6/16/2023,Snake,Dwarf Reed Snake,"1.354286, 103.794965",Road
6/16/2023,Snake,Kopstein's Bronzeback,"1.353565, 103.791715",Road
6/17/2023,Frog,Four-lined Tree Frog,"1.351854, 103.784557",Road
6/17/2023,Snake,King Cobra,"1.408075, 103.807155",Road
6/17/2023,Lizard - Monitor,Malayan Water Monitor,"1.386136, 103.690972",Road
6/19/2023,Snake,Equatorial Spitting Cobra,"1.386370, 103.701242",Road
6/19/2023,Snake,Equatorial Spitting Cobra,"1.29608, 103.76757",Road
6/19/2023,Lizard - Monitor,Malayan Water Monitor,"1.408075, 103.807155",Road
6/19/2023,Snake,Red-tailed Pipe Snake,"1.400925, 103.820858",Road
6/20/2023,Frog,Bengal Toad,"1.444096, 103.786227",Pavement
6/20/2023,Frog,Dicroglossid Frog,"1.399654, 103.809133",Road
6/21/2023,Snake,Dog-toothed Cat Snake,"1.3916322, 103.8181528",Road
6/22/2023,Snake,Banded Malayan Coral Snake and a small black snake,"1.40785, 103.8072",Road
6/28/2023,Snake,Kopstein’s Bronzeback,"1.36311, 103.7691",Road
6/28/2023,Turtle,Red-eared Slider,"1.282569, 103.801485",Road
6/28/2023,Snake,Reticulated Python,"1.41956, 103.70218",Road
6/29/2023,Snake,Painted Bronzeback,"1.40861, 103.7797",Road
7/2/23,Snake,Striped Keelback,"1.282984, 103.868379","Walking trail in gardens by the Bay, shared with buggy"
7/3/23,Snake,Gold-ringed Cat Snake,"1.351920, 103.836915",Road
7/3/23,Snake,Unidentified Slithering Object,"1.408320,103.780000",Road
7/4/23,Snake,Reticulated Python,"1.386506, 103.731307",Road
7/5/23,Turtle,Red-eared Slider,"1.414946, 103.797170",Road
7/7/23,Snake,Striped Bronzeback,"1.33175, 103.83017",Road
7/10/23,Lizard - Monitor,Varanus sp.,"1.414073, 103.794488",Road
7/17/2023,Frog,Copper-cheeked Frog,"1.399947, 103.809060",Road
7/20/2023,Snake,Variable Reed Snake,"1.399354, 103.805786",Road
7/22/2023,Lizard - Monitor,Malayan Water Monitor,"1.389730, 103.726077",Road
7/23/2023,Snake,Paradise Tree Snake,"1.387935, 103.726425",Road
7/26/2023,Lizard - Agamid,Changeable Lizard,"1.396819, 103.818353",Road
7/27/2023,Snake,Painted Bronzeback,"1.385389, 103.723358",Road
7/27/2023,Snake,Sunbeam Snake,"1.388167, 103.724664",Road
7/28/2023,Lizard - Monitor,Malayan Water Monitor,"1.386370, 103.725433",Road
7/30/2023,Snake,Pink-headed Reed snake,"1.36238, 103.77735",Walking Trail
8/2/23,Snake,Elegant Bronzeback,"1.3534154, 103.7881177",Road
8/3/23,Snake,Waglers Pit Viper,"1.37278, 103.77751",Road
8/3/23,Snake,White-spotted Slug Snake,"1.303750, 103.811924",Road
8/3/23,Snake,White-spotted Slug Snake,"1.305051, 103.813446",Road
8/5/23,Snake,House Wolf Snake,"1.3584662, 103.8653519",Road
8/5/23,Snake,Paradise Tree Snake,"1.35612, 103.75319",Road
8/5/23,Snake,Reticulated Python,"1.37125, 103.93637",Road
8/5/23,Snake,White-spotted Slug Snake,"1.385838, 103.937349",Bicycle Track
8/6/23,Lizard - Monitor,Malayan Water Monitor,"1.309930, 103.938469",Road
8/7/23,Snake,Painted Bronzeback,"1.3068614, 103.8197507",Road
8/9/23,Snake,Dog-toothed Cat Snake,"1.39979, 103.80831",Road
8/9/23,Snake,House Wolf Snake,"1.33189, 103.80251",Road
8/10/23,Lizard - Monitor,Varanus sp.,"1.285083, 103.861475",Road
8/11/23,Snake,Kopstein's Bronzeback,"1.40146, 103.78867",Road
8/11/23,Snake,painted bronzeback,https://maps.app.goo.gl/T27RG9FUxu6wLe5g7,Road
8/11/23,Lizard - Monitor,Malayan Water Monitor,"1.303257, 103.884701",Road
8/11/23,Snake,Painted Bronzeback,"1.385862, 103.724877",Road
8/11/23,Snake,Painted Bronzeback,"1.38021, 103.81824",Road
8/12/23,Snake,Equatorial Spitting Cobra,"1.29672, 103.79214",Road
8/12/23,Snake,Twin-barred Tree Snake,"1.36789, 103.82806",Road
8/20/2023,Lizard - Skink,Common Sun Skink,"1.401319, 103.811314",Road
8/20/2023,Lizard - Not Sure,Green Iguana,"1.394865, 103.743963",Road
8/20/2023,Lizard - Monitor,Malayan Water Monitor,"1.354818, 103.827239",Road
8/21/2023,Lizard - Skink,Common Sun Skink,"1.403438, 103.778234",Bicycle Track
8/25/2023,Snake,Changeable Lizard,"1.31709, 103.75168",Road
8/25/2023,Snake,Reticulated Python,"1.31702, 103.75157",Road
8/25/2023,Snake,Unidentified Slithering Object,"1.31714, 103.75179",Road
8/30/2023,Snake,Kopstein's Bronzeback,"1.410286, 103.778663",Road
8/31/2023,Frog,Four-lined Tree Frog,"1.34878, 103.77134",Road
9/2/23,Lizard - Monitor,Malayan Water Monitor,"1.305248, 103.923407",Road
9/2/23,Snake,Reticulated Python,"1.397638, 103.864518",Small road
9/4/23,Snake,Striped Bronzeback,"1.40353, 103.96939",Road
9/5/23,Snake,Eight-striped Kukri Snake,"1.40143, 103.8116",Road
9/5/23,Snake,Equatorial spitting cobra,"1.37874, 103.82378",Road
9/5/23,Snake,Paradise Tree Snake,"1.37872, 103.82384",Road
9/5/23,Snake,Red-tailed Pipe Snake,"1.40101, 103.81032",Road
9/9/23,Frog,Bengal Toad,"1.29583, 103.77947",Road
9/9/23,Frog,Four-lined Tree Frog,"1.40052, 103.80897",Road
9/12/23,Snake,Equatorial spitting cobra,"1.403708, 103.871579",PCN
9/14/2023,Lizard - Agamid,Common Gliding Lizard,"1.4010410, 103.8106265",Road
9/14/2023,Snake,Sunbeam Snake,"1.40178, 103.8121",Road
9/15/2023,Lizard - Monitor,Malayan Water Monitor,"1.292474, 103.853370",Road
9/17/2023,Snake,Twin-barred Tree Snake,"1.3465039, 103.7820465",Road
9/18/2023,Snake,Equatorial spitting cobra,"1.45962, 103.83898",Road
9/22/2023,Snake,Blue-necked Keelback,"1.399151, 103.807668",Road
9/22/2023,Lizard - Monitor,Malayan Water Monitor,"1.310472, 103.940250",Road
9/25/2023,Turtle,Red-eared Slider,"1.310667, 103.934722",Road
9/25/2023,Snake,Wagler's Pit Viper,"1.360056, 103.820639",Road
9/26/2023,Snake,Reticulated Python,"1.3534341, 103.7887591",Road
9/27/2023,Lizard - Monitor,Malayan Water Monitor,"1.320220, 103.814290",Road
9/28/2023,Lizard - Monitor,Malayan Water Monitor,"1.385000, 103.823722",Road
9/28/2023,Snake,Sunbeam Snake,"1.393392, 103.924063",Road
9/30/2023,Turtle,Striped Keelback,Ulu Pandan PCN (next to the 4-ha forest fragment behind Waterfront @ Faber condo,Bicycle Track
9/30/2023,Lizard - Monitor,Malayan Water Monitor,"1.317611, 103.752583",Road
9/30/2023,Turtle,Red-eared Slider,"1.380639, 103.819821",Road
10/1/23,Snake,Spotted Keelback,"1.381556, 103.813611",Road
10/4/23,Snake,Eight-striped Kukri Snake,"1.344291, 103.789104",Road
10/6/23,Snake,Kopstein's Bronzeback,"1.378983, 103.827419",Road
10/10/23,Snake,White-spotted Slug Snake,"1.2883817, 103.8771107",Pavement
10/11/23,Snake,Striped Keelback,"1.382935, 103.722176",Road
10/13/2023,Lizard - Monitor,Varanus sp.,"1.3088615, 103.8182249",Road
10/14/2023,Lizard - Monitor,Malayan Water Monitor,"1.405889, 103.959806",Roadside
10/15/2023,Snake,Pink-headed Reed snake,"1.399417, 103.777111",Walking Trail
10/16/2023,Lizard - Monitor,Malayan Water Monitor,"1.3702020, 103.7741470",Road
10/18/2023,Frog,Bengal Toad,"1.35647, 103.74928",Pavement
10/25/2023,Snake,Dendralaphis sp.,"1.304008, 103.812119",Road
10/28/2023,Snake,Oriental Whip Snake,"1.4066535, 103.9542507",Road
10/28/2023,Snake,White-spotted Slug Snake,"1.29671, 103.81429",Road
10/29/2023,Frog,Bengal Toad,"1.4076550, 103.9673979",Road
10/30/2023,Lizard - Monitor,Malayan Water Monitor,"1.31776, 103.7527",Road
10/31/2023,Frog,Bengal Toad,"1.36655, 103.76583",Walking Trail
10/31/2023,Snake,Kopstein’s Bronzeback,"1.36208, 103.7692",Road
11/1/23,Snake,Eight-striped Kukri Snake,"1.387060,103.730619",Road
11/2/23,Snake,House Wolf Snake,"1.33602, 103.86566",Road
11/3/23,Lizard - Monitor,Malayan Water Monitor,"1.379286, 103.881115",Road
11/4/23,Lizard - Monitor,Clouded Monitor Lizard,"1.331194, 103.818389",Road
11/4/23,Snake,Kopstien's Bronzeback,"1.3535102, 103.7907161",Road
11/4/23,Snake,Pink-headed Reed snake,"1.38313, 103.81914",Road
11/6/23,Snake,Eight-striped Kukri Snake,"1.399609, 103.807946",Road
11/9/23,Snake,Blue Bronzeback,"1.3536617, 103.7924512",Road
11/9/23,Snake,Malayan Blue Coral Snake,"1.3534700, 103.7862415",Road
11/9/23,Snake,Wagler's Pit Viper,"1.3438217, 103.7798773",Road
11/11/23,Frog,Bengal Toad,"1.3645665, 103.7743838",Walking Trail
11/12/23,Snake,Unidentified Slithering Object,"1.3428697, 103.7797543",Road
11/14/2023,Snake,Changeable Lizard,"1.293250, 103.821861",Road
11/15/2023,Snake,Sunbeam Snake,"1.38282, 103.72217",Road
11/18/2023,Snake,Eight-striped Kukri Snake,"1.39913, 103.80507",Road
11/19/2023,Snake,Spotted Keelback,"1.38243, 103.81876",Road
11/20/2023,Snake,Striped Kukri Snake (Oligodon cf. taeniatus),"1.28006, 103.79893",Road
11/24/2023,Snake,Painted Bronzeback,"1.44236, 103.72898",Road
11/27/2023,Snake,Black-headed Collared Snake,"1.3533188, 103.7901679",Road
11/27/2023,Snake,Black-headed Collared Snake,"1.3533440, 103.7902960",Road
12/2/23,Snake,Twin-barred Tree Snake,"1.446278, 103.727694",Pavement
11/27/2023,Lizard - Agamid,Green crested lizard,"1.38606, 103.8191",Road
11/29/2023,Snake,Painted Bronzeback,"1.35458, 103.75916",Road
12/2/23,Snake,Variable Reed Snake,"1.401364, 103.811407",Road
12/3/23,Snake,Wagler's Pit Viper,"1.3446145, 103.7802317",Road
12/5/23,Frog,Unidentified Froggy Object,"1.344197, 103.797295",Road
12/5/23,Snake,White-spotted Slug Snake,"1.344361, 103.797250",Road
12/6/23,Lizard - Gecko,Spotted House Gecko,"1.297268098775504, 103.77661682545744",Road
12/8/23,Frog,Four-lined Tree Frog,"1.378778, 103.823750",Road
12/8/23,Frog,Painted Chorus Frog,"1.381243, 103.812439",Road
12/8/23,Snake,Pink-headed Reed Snake,"1.379473, 103.809913",Road
12/8/23,Snake,Variable Reed Snake,"1.34828, 103.78376",Road
12/9/23,Snake,White-spotted Slug Snake,"1.38663, 103.72595",Road
12/10/23,Snake,Banded Malayan Coral Snake,"1.40038, 103.80885",Road
12/11/23,Snake,Oriental Whip Snake,"1.40561, 103.96982",Road
12/11/23,Snake,White-bellied Rat Snake,"1.37963, 103.8221",Road
12/15/2023,Frog,Golden-eared Rough-sided Frog,"1.39942, 103.80777",Road
12/15/2023,Snake,Twin-barred Tree Snake,"1.34851, 103.78385",Road
12/16/2023,Snake,Wagler's Pit Viper,"1.37963, 103.82217",Road
12/18/2023,Lizard - Gecko,Changeable lizard,"1.34112, 103.8446",Road
12/18/2023,Snake,Kopstein's Bronzeback,"1.34578, 103.78123",Road
12/18/2023,Snake,Wagler's Pit Viper,"1.34921, 103.78395",Road
12/19/2023,Lizard - Monitor,Clouded monitor,9RX5+J2W Singapore,Road
12/19/2023,Snake,Wagler's Pit Viper,"1.38228, 103.81857",Road
12/20/2023,Snake,Banded Malayan Coral Snake,"1.35363, 103.79217",Road
12/20/2023,Snake,Blue Malayan Coral Snake,"1.35363, 103.79223",Pavement
12/20/2023,Snake,Spotted Keelback,"1.35466, 103.7961",Road
12/29/2023,Snake,Variable Reed Snake,"1.34576, 103.78126",Road
1/3/24,Frog,Cinnamon Bush Frog,"1.387750, 103.816944",Road
1/5/24,Snake,Equatorial Spitting Cobra,"1.325055, 103.867239",PCN
1/5/24,Snake,Variable Reed Snake,"1.353194, 103.787361",Road
1/8/24,Lizard - Agamid,Draco sumatranus,"Sin Ming Avenue pavement in front of Block 454, near bus stop",Pavement
1/9/24,Snake,Kopstein's Bronzeback,"1.35406, 103.79414",Road
1/9/24,Lizard - Monitor,Varanus sp.,"1.42942, 103.7196",Road
1/11/24,Frog,Bengal Toad,"1.358398, 103.740189",Road
1/11/24,Snake,Spotted Keelback,"1.3511109, 103.7842296",Road
1/18/2024,Snake,Striped Keelback,"1.356746, 103.693743",Pavement
1/19/2024,Snake,Dwarf Reed Snake,"1.3987739, 103.8070773",Road
1/20/2024,Snake,Eight-striped Kukri Snake,"1.3442927, 103.7799835",Road
1/22/2024,Snake,Oriental Whip Snake,"1.435603, 103.700650",Road
1/23/2024,Snake,Painted Bronzeback,"1.296060,103.775901",Road
1/25/2024,Snake,Ophiophagus hannah,"1.398790, 103.807092",Drainage adjacent to road
1/27/2024,Snake,Black-headed Collared Snake,"1.399000, 103.806528",Road
1/27/2024,Snake,King Cobra,"1.398694, 103.807250",Found in drain next to road; could have slithered there to die after getting run over.
1/29/2024,Snake,Indochinese Rat Snake,"1.429310, 103.722435",Road
2/2/24,Snake,Twin-barred Tree Snake,"1.3536795, 103.7914460",Road
2/5/24,Snake,Painted Bronzeback,"1.386025, 103.725131",Road
2/6/24,Snake,Eight-striped Kukri Snake,"1.305167, 103.815361",Road
2/7/24,Snake,Sunbeam Snake,"1.383000, 103.727556",Road
2/13/2024,Turtle,Spiny hill terrapin,"1.387528, 103.816833",Road
2/14/2024,Turtle,Red-eared Slider,"1.348583, 103.837417",Road
2/14/2024,Snake,Reticulated Python,"1.356806, 103.767944",Road
